,index,TotalByYearUSD,Group
15415,26705,216000,Group1
15455,26776,225000,Group1
15477,26821,220000,Group1
15528,26904,477503,Group1
15530,26915,300000,Group1
15554,26953,272859,Group1
15555,26954,220000,Group1
15560,26963,545717,Group1
15563,26966,380000,Group1
15571,26982,220000,Group1
15579,26997,288000,Group1
15584,27004,266648,Group1
15605,27034,250000,Group1
15615,27051,208000,Group1
15663,27123,357912,Group1
15700,27182,682147,Group1
15702,27186,244000,Group1
15717,27208,260000,Group1
15777,27313,240000,Group1
15787,27329,220000,Group1
15829,27388,350000,Group1
15832,27395,300000,Group1
15891,27494,230000,Group1
15912,27520,250000,Group1
15944,27575,682147,Group1
15950,27582,250000,Group1
15973,27617,204644,Group1
15982,27628,624998,Group1
16001,27657,450000,Group1
16020,27687,250000,Group1
16208,27976,272859,Group1
16216,27995,245247,Group1
16273,28079,245573,Group1
16294,28108,300671,Group1
16320,28147,600289,Group1
16357,28200,204762,Group1
16362,28208,325000,Group1
16386,28244,202000,Group1
16390,28248,245000,Group1
16405,28272,250000,Group1
16412,28283,426000,Group1
16427,28302,275000,Group1
16481,28395,660000,Group1
16491,28410,249000,Group1
16528,28464,235000,Group1
16533,28474,210000,Group1
16541,28492,504789,Group1
16559,28522,227382,Group1
16560,28523,204644,Group1
16575,28548,209000,Group1
16576,28549,250000,Group1
16582,28557,375000,Group1
16632,28633,608764,Group1
16639,28644,235000,Group1
16656,28667,400000,Group1
16659,28671,265151,Group1
16662,28674,576297,Group1
16700,28728,275000,Group1
16730,28777,350000,Group1
16731,28778,210000,Group1
16743,28795,204644,Group1
16749,28805,222000,Group1
16752,28810,402649,Group1
16764,28831,225000,Group1
16765,28834,235000,Group1
16775,28846,227382,Group1
16819,28919,500000,Group1
16849,28964,262500,Group1
16857,28975,250000,Group1
16865,28986,268911,Group1
16869,28996,305000,Group1
16923,29088,220000,Group1
16934,29104,613932,Group1
16939,29110,225000,Group1
16947,29119,204644,Group1
16953,29126,225000,Group1
16972,29153,215000,Group1
